timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1448009440203	-2.1574859619140625	4.268890380859375	8.810943603515625	-6.5017024187637915	0	-30.123901	-6.756592	-47.07184	70.26184	-29.894617	-12.257564
1448009440244	-2.0825042724609375	4.51287841796875	10.16180419921875	-6.258054052047999	0	-31.02417	-6.907654	-45.422363	72.8616	-28.970438	-11.690984
1448009440284	-1.3136444091796875	4.230804443359375	8.899017333984375	-6.369133292064625	0	-31.924438	-8.256531	-44.221497	75.203	-28.906107	-10.506506
1448009440324	-0.9780120849609375	4.17486572265625	8.230133056640625	-6.4262173745660185	0	-32.974243	-9.307861	-43.022156	76.18646	-29.271149	-9.899803
1448009440365	0.2240753173828125	4.166534423828125	8.553863525390625	-6.208757137033141	0	-33.87451	-11.257935	-42.271423	78.1828	-30.110477	-8.917281
1448009440405	-1.1839141845703125	2.8109130859375	8.437225341796875	-6.634183847733078	0	-32.974243	-12.606812	-41.671753	80.849945	-30.13248	-9.051478
1448009440446	-1.3017425537109375	4.087982177734375	8.559814453125	-6.438209571746701	0	-33.12378	-12.457275	-41.671753	84.926575	-27.559845	-10.358857
1448009440486	-0.4864654541015625	4.573577880859375	9.548858642578125	-6.145143287325512	0	-32.824707	-13.50708	-41.37268	86.86224	-25.908363	-10.263742
1448009440526	-1.0815582275390625	4.049896240234375	8.342010498046875	-6.44351384131447	0	-32.073975	-13.50708	-41.37268	88.854614	-23.425663	-12.224188
1448009440566	-2.5978546142578125	4.10345458984375	8.426513671875	-6.655074393652981	0	-31.02417	-13.206482	-42.271423	90.532196	-21.177402	-14.211707
1448009440607	-2.3979034423828125	2.74664306640625	7.554107666015625	-6.995399670952092	0	-30.725098	-11.106873	-43.322754	92.078125	-18.275425	-16.138327
1448009440647	-3.5476226806640625	2.510986328125	8.665740966796875	-7.044516617070039	0	-29.524231	-9.606934	-43.922424	92.94983	-14.799461	-17.6224
1448009440687	-3.1120147705078125	2.581207275390625	9.10968017578125	-6.877628733383671	0	-30.123901	-8.557129	-44.67163	93.0195	-13.063439	-18.003017
1448009440728	-2.2229461669921875	2.081329345703125	12.291046142578125	-6.320996849713229	0	-31.173706	-4.6569824	-43.17169	92.352325	-8.687945	-16.070896
1448009440768	-2.6371307373046875	2.634765625	10.98065185546875	-6.493250223238714	0	-31.173706	-3.3065796	-42.422485	91.41083	-7.5693326	-15.134009
1448009440809	-3.6011810302734375	1.560028076171875	10.570037841796875	-6.886174536528056	0	-30.123901	-2.256775	-43.47229	90.86743	-7.1105633	-17.257574
1448009440849	-4.0189361572265625	1.310089111328125	11.319854736328125	-6.872148144809717	0	-29.524231	-3.1570435	-43.022156	90.67529	-7.3300333	-17.74179
1448009440889	-0.6685638427734375	3.188201904296875	10.37841796875	-6.215213633946712	0	-31.324768	-5.407715	-41.822815	90.51764	-10.510286	-16.325302
1448009440930	-1.2946014404296875	2.187255859375	9.567901611328125	-6.572321714157324	0	-31.774902	-7.05719	-41.072083	92.629425	-12.449065	-15.275492
1448009440970	-1.7599639892578125	0.960174560546875	10.512908935546875	-6.690012201327237	0	-33.87451	-9.307861	-38.82141	96.16907	-13.946689	-13.391242
1448009441010	-0.8685150146484375	1.088714599609375	9.645263671875	-6.6656664991382035	0	-33.87451	-10.957336	-37.171936	97.989075	-14.925433	-12.325429
1448009441050	-0.2841339111328125	1.87542724609375	9.301300048828125	-6.5062070864533315	0	-34.77478	-12.457275	-35.671997	100.569244	-16.744669	-10.411837
1448009441091	0.2538299560546875	2.097991943359375	9.9737548828125	-6.264768422574054	0	-35.523987	-13.357544	-32.972717	102.6369	-17.7955	-8.064711
1448009441131	0.9643707275390625	1.87066650390625	8.39080810546875	-6.456100733187057	0	-38.674927	-15.457153	-28.022766	106.43454	-20.194223	-3.6171324
1448009441171	2.1747894287109375	2.59429931640625	9.746429443359375	-5.996676353983381	0	-39.12506	-16.807556	-26.672363	109.22333	-20.642607	-0.76839197
1448009441211	0.4799652099609375	1.3541259765625	10.312957763671875	-6.321338323999859	0	-38.674927	-16.957092	-25.622559	112.94208	-20.631634	0.1868914
1448009441252	1.0619659423828125	3.040618896484375	8.201568603515625	-6.298872324939859	0	-36.424255	-21.307373	-24.421692	116.71222	-21.228374	0.2987905
1448009441292	1.6403961181640625	2.707366943359375	8.839508056640625	-6.175171752304052	0	-35.073853	-21.907043	-24.421692	120.435425	-21.630573	-0.98482424
1448009441332	1.1214752197265625	3.845184326171875	6.331787109375	-6.4452837912398895	0	-34.17511	-26.40686	-23.072815	124.90936	-21.861118	-2.087368
1448009441373	0.2205047607421875	3.07513427734375	8.494354248046875	-6.37294403497776	0	-32.974243	-28.657532	-23.222351	129.77173	-21.772533	-2.0456648
1448009441413	-0.3293609619140625	2.777587890625	10.00946044921875	-6.27705507495234	0	-30.574036	-30.15747	-22.021484	136.66919	-19.810944	-1.9807113
1448009441454	-0.8006744384765625	1.9539794921875	10.348663330078125	-6.41514479849887	0	-29.524231	-32.107544	-22.172546	138.42722	-19.35726	-2.2616343
1448009441494	-1.5338287353515625	1.286285400390625	10.493865966796875	-6.605612241223666	0	-28.775024	-32.55768	-22.772217	141.21875	-17.852772	-3.425355
1448009441535	0.6822967529296875	2.187255859375	11.7352294921875	-5.984979649351313	0	-27.723694	-34.057617	-22.172546	144.0033	-17.20769	-3.3006985
1448009441575	-0.1579742431640625	1.945648193359375	10.717620849609375	-6.2703173755757735	0	-26.524353	-34.657288	-20.672607	147.54568	-17.569214	-2.975061
