timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1448008329972	-2.6918792724609375	4.259368896484375	7.644561767578125	-6.7714638594617265	0	-17.224121	-29.107666	-19.772339	128.55457	-21.774918	-21.054062
1448008330015	-2.9858551025390625	3.738067626953125	7.3077392578125	-6.7714638594617265	0	-17.52472	-29.107666	-19.622803	128.55457	-21.774918	-21.054062
1448008330057	-2.8335113525390625	3.611907958984375	8.975189208984375	-6.68352686357977	0	-18.875122	-29.257202	-18.2724	131.18552	-20.421331	-15.777862
1448008330097	0.2585906982421875	3.634521484375	10.348663330078125	-6.032772299548466	0	-18.574524	-29.257202	-16.921997	135.29596	-18.391197	-8.639315
1448008330138	-0.6804656982421875	1.80877685546875	9.253692626953125	-6.5844883035841715	0	-18.12439	-28.50647	-17.071533	137.65625	-16.764452	-6.857462
1448008330178	-0.2686614990234375	3.066802978515625	10.2403564453125	-6.195713969563053	0	-18.12439	-28.807068	-16.322327	139.50018	-15.781641	-4.916101
1448008330218	0.1371917724609375	3.652374267578125	8.522918701171875	-6.297684962383538	0	-18.12439	-29.707336	-15.872192	140.18536	-15.634458	-4.4310155
1448008330259	-0.1758270263671875	2.790679931640625	9.0025634765625	-6.398166872911258	0	-17.52472	-28.657532	-15.422058	142.08899	-16.289368	-2.3056078
1448008330300	0.5251922607421875	2.35626220703125	8.4788818359375	-6.436090201214222	0	-16.773987	-28.807068	-14.222717	143.86392	-16.762688	-0.8537321
1448008330340	0.3680877685546875	1.712371826171875	7.31488037109375	-6.741418118639562	0	-16.474915	-30.15747	-14.372253	144.57483	-16.27137	-0.37811348
1448008330381	0.6882476806640625	3.044189453125	9.151336669921875	-6.217202584874316	0	-16.773987	-28.807068	-14.222717	145.61716	-14.934597	1.1976968
1448008330421	2.3021392822265625	3.097747802734375	7.066131591796875	-6.275875049404469	0	-16.02478	-29.107666	-12.722778	146.38486	-14.764689	3.1156826
1448008330461	1.5225677490234375	1.8349609375	10.3450927734375	-6.104894790240458	0	-15.42511	-28.657532	-12.272644	150.07599	-13.565296	9.926787
1448008330502	2.3402252197265625	2.43243408203125	9.8309326171875	-5.985135369920936	0	-16.02478	-29.406738	-12.872314	151.31207	-11.58028	10.92475
