timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1448090678187	-0.19268798828125	9.88055419921875	2.026519775390625	-6.383971479939997	0	-8.399963	-26.879883	-26.45874	24.041534	-78.463715	-1.1917797
1448090678227	-0.191497802734375	9.872222900390625	2.03961181640625	-6.383102239804661	0	-8.699036	-26.879883	-26.039124	24.042664	-78.4566	-1.1902777
1448090678267	-0.20697021484375	9.87103271484375	2.00152587890625	-6.391107593493106	0	-8.459473	-26.638794	-25.91858	24.04831	-78.46384	-1.185727
1448090678308	-0.208160400390625	9.891265869140625	1.9896240234375	-6.390062353172805	0	-8.578491	-26.759338	-25.979614	24.057953	-78.47203	-1.1893238
1448090678348	-0.20220947265625	9.879364013671875	2.038421630859375	-6.3837976142530515	0	-8.578491	-26.818848	-25.679016	24.082031	-78.47301	-1.1918788
1448090678389	-0.170074462890625	9.8924560546875	2.007476806640625	-6.381711914465306	0	-8.699036	-27.059937	-25.91858	24.103424	-78.48	-1.1913153
1448090678429	-0.195068359375	9.872222900390625	2.0372314453125	-6.383971479939997	0	-8.639526	-26.998901	-26.399231	24.12674	-78.478966	-1.1847543
1448090678469	-0.1807861328125	9.860321044921875	2.057464599609375	-6.380669540735138	0	-8.099365	-26.998901	-26.638794	24.124573	-78.46882	-1.1804366
1448090678509	-0.189117431640625	9.888885498046875	1.9705810546875	-6.390410731078596	0	-8.039856	-27.059937	-26.759338	24.090515	-78.4643	-1.1787663
1448090678550	-0.217681884765625	9.869842529296875	2.00152587890625	-6.392850371887606	0	-8.039856	-26.939392	-26.45874	24.044525	-78.476776	-1.1815451
1448090678590	-0.195068359375	9.876983642578125	2.00390625	-6.388146909316565	0	-8.099365	-27.359009	-26.519775	24.052124	-78.47077	-1.1846355
1448090678630	-0.195068359375	9.876983642578125	2.00390625	-6.388146909316565	0	-7.739258	-27.2995	-26.579285	24.052124	-78.47077	-1.1846355
1448090678671	-0.19744873046875	9.857940673828125	2.021759033203125	-6.388669196639215	0	-7.739258	-27.479553	-26.45874	24.048248	-78.481766	-1.1867312
1448090678711	-0.16888427734375	9.865081787109375	2.036041259765625	-6.3813644213089145	0	-7.798767	-27.719116	-26.519775	24.048248	-78.481766	-1.1867312
1448090678751	-0.198638916015625	9.89483642578125	2.005096435546875	-6.385884585746353	0	-7.798767	-27.659607	-26.278687	24.036255	-78.48549	-1.179218
1448090678791	-0.184356689453125	9.85675048828125	1.993194580078125	-6.391107593493106	0	-7.978821	-26.998901	-25.91858	24.04007	-78.48516	-1.1819909
1448090678832	-0.186737060546875	9.87579345703125	2.026519775390625	-6.3837976142530515	0	-8.1588745	-27.119446	-26.159668	24.034515	-78.48431	-1.1773266
1448090678872	-0.176025390625	9.869842529296875	1.983673095703125	-6.389365703909812	0	-8.1588745	-27.059937	-26.098633	24.027832	-78.491615	-1.1755503
1448090678912	-0.179595947265625	9.891265869140625	1.9801025390625	-6.387276607728145	0	-8.338928	-26.879883	-25.979614	24.027832	-78.491615	-1.1755503
1448090678952	-0.208160400390625	9.857940673828125	2.009857177734375	-6.387102573990678	0	-8.518982	-26.998901	-25.91858	24.024048	-78.501816	-1.1773368
1448090678993	-0.191497802734375	9.881744384765625	2.02056884765625	-6.384493130002001	0	-8.639526	-26.998901	-25.979614	24.02539	-78.49697	-1.176137
1448090679033	-0.210540771484375	9.8734130859375	2.01580810546875	-6.389191563783767	0	-8.578491	-26.69983	-26.219177	24.02713	-78.49441	-1.1763018
1448090679079	-0.1903076171875	9.89007568359375	2.024139404296875	-6.382580801645071	0	-8.459473	-26.638794	-26.399231	24.033325	-78.49501	-1.1813564
1448090679119	-0.198638916015625	9.891265869140625	2.00628662109375	-6.38623253813004	0	-8.21991	-27.059937	-26.879883	24.028046	-78.493866	-1.1767476
1448090679160	-0.191497802734375	9.893646240234375	2.0181884765625	-6.383102239804661	0	-8.279419	-27.23999	-26.818848	24.028625	-78.49164	-1.1761669
1448090679200	-0.198638916015625	9.859130859375	2.026519775390625	-6.387972831274226	0	-8.1588745	-27.719116	-26.759338	24.030914	-78.487976	-1.1762506
1448090679240	-0.2283935546875	9.900787353515625	2.024139404296875	-6.386580525914362	0	-8.1588745	-27.719116	-26.638794	24.037598	-78.484665	-1.1798586
1448090679280	-0.179595947265625	9.891265869140625	1.990814208984375	-6.385710622826371	0	-8.21991	-27.598572	-26.818848	24.033875	-78.483315	-1.1763616
1448090679321	-0.214111328125	9.886505126953125	2.005096435546875	-6.389365703909812	0	-8.039856	-27.418518	-26.818848	24.039246	-78.48002	-1.1789721
1448090679361	-0.18792724609375	9.886505126953125	2.009857177734375	-6.38484094089111	0	-8.039856	-27.178955	-26.69983	24.03894	-78.47776	-1.1777006
1448090679401	-0.184356689453125	9.8734130859375	2.009857177734375	-6.38623253813004	0	-7.6797485	-27.119446	-26.998901	24.035278	-78.47122	-1.1718612
1448090679441	-0.196258544921875	9.85198974609375	1.994384765625	-6.393373378927664	0	-7.6797485	-27.359009	-26.818848	24.036682	-78.47025	-1.1724932
1448090679482	-0.189117431640625	9.834136962890625	2.038421630859375	-6.388495091997704	0	-8.1588745	-26.818848	-26.159668	24.03897	-78.46569	-1.1721584
1448090679522	-0.22601318359375	9.9019775390625	2.00628662109375	-6.388669196639215	0	-8.399963	-26.519775	-25.979614	24.040833	-78.47077	-1.1759294
1448090679562	-0.20458984375	9.89483642578125	1.990814208984375	-6.3888433101498245	0	-8.338928	-26.638794	-25.85907	24.043427	-78.46943	-1.177313
1448090679602	-0.195068359375	9.90435791015625	1.9991455078125	-6.38484094089111	0	-8.459473	-26.159668	-25.79956	24.039795	-78.478714	-1.1788021
1448090679657	-0.185546875	9.860321044921875	2.04913330078125	-6.382580801645071	0	-8.578491	-26.638794	-26.278687	24.03769	-78.48159	-1.1785256
1448090679697	-0.17840576171875	9.905548095703125	2.012237548828125	-6.380322153296306	0	-8.399963	-26.998901	-26.399231	24.036133	-78.47427	-1.173938
1448090679738	-0.1998291015625	9.87579345703125	2.02056884765625	-6.386580525914362	0	-8.699036	-26.998901	-26.519775	24.045471	-78.4724	-1.1802462
1448090679778	-0.195068359375	9.872222900390625	2.05865478515625	-6.380843247664558	0	-8.639526	-26.939392	-26.579285	24.05014	-78.46503	-1.1804528
1448090679818	-0.177215576171875	9.878173828125	1.97772216796875	-6.389191563783767	0	-8.099365	-27.119446	-26.818848	24.060303	-78.464005	-1.1877859
1448090679858	-0.18316650390625	9.91387939453125	2.00628662109375	-6.380669540735138	0	-8.279419	-27.119446	-26.638794	24.046082	-78.47445	-1.1816826
1448090679904	-0.214111328125	9.831756591796875	2.02056884765625	-6.395117314813378	0	-8.279419	-27.418518	-26.759338	24.050415	-78.47384	-1.1847303
1448090679944	-0.191497802734375	9.93292236328125	2.014617919921875	-6.37789142672219	0	-8.338928	-27.539063	-26.818848	24.038788	-78.48204	-1.1795657
1448090679984	-0.20697021484375	9.867462158203125	2.01580810546875	-6.3895398529103815	0	-8.578491	-27.178955	-26.759338	24.04123	-78.48098	-1.1809559
1448090680027	-0.195068359375	9.8829345703125	2.016998291015625	-6.385362723523384	0	-8.338928	-27.178955	-26.45874	24.041748	-78.476036	-1.1790601
1448090680068	-0.23077392578125	9.86865234375	2.03485107421875	-6.390062353172805	0	-8.338928	-26.998901	-26.098633	24.031647	-78.48493	-1.1753949
1448090680116	-0.195068359375	9.88531494140625	2.032470703125	-6.382754605541271	0	-8.399963	-26.998901	-26.098633	24.0354	-78.47963	-1.1758312
1448090680156	-0.201019287109375	9.8543701171875	2.013427734375	-6.3909333645607145	0	-8.338928	-27.418518	-26.098633	24.026093	-78.488625	-1.1728219
1448090680199	-0.191497802734375	9.90911865234375	2.028900146484375	-6.379280202243486	0	-7.978821	-27.598572	-26.45874	24.031006	-78.482735	-1.1739013
1448090680239	-0.1712646484375	9.8734130859375	2.00152587890625	-6.385536668752499	0	-8.039856	-27.95868	-26.638794	24.030853	-78.477135	-1.1711985
1448090680285	-0.203399658203125	9.90435791015625	2.00628662109375	-6.385014859594039	0	-7.978821	-27.719116	-26.45874	24.02539	-78.48196	-1.1692183
1448090680326	-0.198638916015625	9.881744384765625	2.014617919921875	-6.386406527596446	0	-7.6797485	-27.178955	-26.45874	24.03186	-78.47742	-1.1721106
1448090680366	-0.2093505859375	9.874603271484375	2.019378662109375	-6.38832099622394	0	-7.9193115	-26.998901	-26.399231	24.031494	-78.48745	-1.1764393
1448090680406	-0.184356689453125	9.893646240234375	2.007476806640625	-6.383623757397391	0	-8.338928	-26.579285	-26.159668	24.030518	-78.49037	-1.1770431
1448090680446	-0.198638916015625	9.849609375	1.994384765625	-6.394070846335612	0	-8.279419	-26.759338	-26.278687	24.033447	-78.49248	-1.1802778
1448090680487	-0.210540771484375	9.8638916015625	1.978912353515625	-6.395989617151535	0	-8.21991	-27.059937	-26.519775	24.03482	-78.4978	-1.1837944
1448090680527	-0.1998291015625	9.88055419921875	2.045562744140625	-6.382233220316948	0	-8.279419	-27.178955	-26.69983	24.036102	-78.48829	-1.1803752
1448090680567	-0.198638916015625	9.905548095703125	2.03009033203125	-6.380669540735138	0	-7.9193115	-27.23999	-26.879883	24.03775	-78.4858	-1.1804938
1448090680620	-0.18792724609375	9.87579345703125	1.976531982421875	-6.3912818313136075	0	-7.978821	-27.178955	-27.178955	24.022705	-78.497955	-1.1745316
1448090680666	-0.189117431640625	9.857940673828125	1.9991455078125	-6.390759144515073	0	-8.039856	-26.939392	-26.998901	24.02536	-78.497795	-1.176511
1448090680706	-0.20220947265625	9.88055419921875	1.997955322265625	-6.3895398529103815	0	-8.099365	-26.818848	-26.278687	24.025787	-78.5027	-1.1790909
1448090680747	-0.19268798828125	9.88055419921875	2.009857177734375	-6.386406527596446	0	-8.039856	-26.879883	-25.738525	24.024567	-78.50253	-1.1780849
1448090680787	-0.1998291015625	9.872222900390625	1.986053466796875	-6.392153153785374	0	-7.9193115	-27.2995	-25.679016	24.029419	-78.49833	-1.179867
1448090680827	-0.20458984375	9.8734130859375	2.024139404296875	-6.387102573990678	0	-7.9193115	-27.539063	-25.559998	24.028503	-78.49847	-1.1792377
1448090680867	-0.2188720703125	9.86865234375	2.047943115234375	-6.386406527596446	0	-7.9193115	-27.598572	-26.159668	24.043762	-78.48579	-1.1851393
1448090680908	-0.19268798828125	9.869842529296875	1.997955322265625	-6.3897140107868315	0	-7.978821	-27.659607	-26.638794	24.03711	-78.4838	-1.1790848
1448090680948	-0.21173095703125	9.881744384765625	1.995574951171875	-6.391107593493106	0	-8.099365	-27.479553	-26.818848	24.038696	-78.48727	-1.1818986
1448090680988	-0.198638916015625	9.860321044921875	2.02056884765625	-6.388669196639215	0	-7.978821	-27.2995	-26.879883	24.036926	-78.48638	-1.1801249
1448090681028	-0.195068359375	9.8924560546875	2.005096435546875	-6.385710622826371	0	-8.039856	-26.998901	-26.879883	24.039337	-78.483574	-1.1807022
1448090681068	-0.208160400390625	9.87579345703125	2.01104736328125	-6.389191563783767	0	-8.21991	-26.879883	-26.818848	24.042389	-78.48307	-1.1828235
1448090681120	-0.203399658203125	9.886505126953125	2.021759033203125	-6.385362723523384	0	-8.399963	-26.879883	-26.278687	24.049011	-78.47935	-1.1861898
1448090681160	-0.196258544921875	9.89483642578125	2.02294921875	-6.382928418260686	0	-8.338928	-26.818848	-26.399231	24.04889	-78.478676	-1.1857926
1448090681204	-0.203399658203125	9.884124755859375	2.00390625	-6.38832099622394	0	-8.518982	-26.818848	-26.098633	24.046173	-78.484886	-1.1865655
1448090681244	-0.198638916015625	9.88055419921875	2.036041259765625	-6.383449909371668	0	-8.21991	-26.879883	-26.219177	24.04721	-78.48505	-1.1874409
1448090681287	-0.195068359375	9.88531494140625	2.03961181640625	-6.381711914465306	0	-7.8598022	-27.059937	-26.579285	24.044373	-78.49048	-1.1877644
1448090681327	-0.18792724609375	9.8829345703125	2.014617919921875	-6.384667031027547	0	-7.9193115	-27.178955	-26.579285	24.045074	-78.48625	-1.1863596
1448090681368	-0.195068359375	9.86627197265625	2.0181884765625	-6.387624701779237	0	-7.798767	-27.418518	-26.339722	24.04895	-78.483665	-1.1881402
1448090681409	-0.20458984375	9.88531494140625	2.02294921875	-6.385536668752499	0	-7.6797485	-27.359009	-26.339722	24.049683	-78.483864	-1.1888037
1448090681452	-0.19268798828125	9.893646240234375	2.033660888671875	-6.381016963402434	0	-8.039856	-27.479553	-26.159668	24.049438	-78.472595	-1.1834067
1448090681492	-0.17364501953125	9.886505126953125	2.02532958984375	-6.380495842612833	0	-8.21991	-27.2995	-26.039124	24.047089	-78.46792	-1.1794307
1448090681532	-0.1998291015625	9.8829345703125	2.016998291015625	-6.386058557513792	0	-7.8598022	-27.178955	-26.45874	24.04663	-78.46434	-1.1774299
1448090681573	-0.20220947265625	9.8876953125	2.01580810546875	-6.384145354459573	0	-8.039856	-27.418518	-26.759338	24.039856	-78.46681	-1.1733496
1448090681613	-0.1807861328125	9.87103271484375	2.005096435546875	-6.3867545330851385	0	-7.978821	-27.418518	-26.879883	24.047852	-78.46652	-1.17937
1448090681653	-0.189117431640625	9.903167724609375	2.01104736328125	-6.382407006570745	0	-8.279419	-27.719116	-26.879883	24.040344	-78.47271	-1.1764666
1448090681693	-0.1998291015625	9.87103271484375	2.012237548828125	-6.388495091997704	0	-8.578491	-27.598572	-26.818848	24.047607	-78.47307	-1.1822146
1448090681734	-0.21173095703125	9.8876953125	2.016998291015625	-6.387102573990678	0	-8.578491	-27.418518	-26.638794	24.051483	-78.47407	-1.1856569
1448090681774	-0.1903076171875	9.8924560546875	1.9896240234375	-6.387276607728145	0	-8.578491	-27.418518	-26.579285	24.05362	-78.47572	-1.1880744
1448090681814	-0.18792724609375	9.897216796875	2.002716064453125	-6.384319237813125	0	-8.399963	-27.359009	-26.339722	24.043945	-78.48072	-1.1829268
1448090681854	-0.21173095703125	9.86865234375	2.01580810546875	-6.390062353172805	0	-8.338928	-27.178955	-26.278687	24.047943	-78.478714	-1.1850847
1448090681895	-0.210540771484375	9.89007568359375	2.019378662109375	-6.38623253813004	0	-8.099365	-26.939392	-26.399231	24.051666	-78.48299	-1.1899198
1448090681935	-0.195068359375	9.88531494140625	2.0181884765625	-6.38484094089111	0	-8.099365	-26.818848	-26.519775	24.053223	-78.481514	-1.1904271
