timestamp	accel_x	accel_y	accel_z	accel_mag	temperature	mag_x	mag_y	mag_z	azimuth	pitch	roll
1448012853235	-3.5190582275390625	3.795196533203125	9.394134521484375	-6.696893771568053	0	-19.117737	-25.283813	-50.572205	73.012695	-35.81708	-20.823347
1448012853275	-3.6773529052734375	3.63214111328125	7.965911865234375	-6.992226166757126	0	-19.866943	-26.483154	-50.723267	74.81622	-35.543346	-20.779589
1448012853316	-2.8942108154296875	4.719970703125	8.3551025390625	-6.615853625441562	0	-20.916748	-26.03302	-51.1734	75.62836	-34.95542	-20.71195
1448012853356	-2.8085174560546875	4.929443359375	7.874267578125	-6.645082408487134	0	-20.167542	-25.883484	-50.42267	75.83789	-34.771847	-20.541521
1448012853396	-2.0122833251953125	5.580474853515625	6.83880615234375	-6.580612138791581	0	-20.767212	-25.733948	-50.723267	75.755005	-34.90838	-20.413275
1448012853437	-2.7490081787109375	5.190093994140625	7.263702392578125	-6.691349093891823	0	-18.966675	-26.483154	-50.12207	75.67029	-34.992672	-20.632994
1448012853477	-2.9727630615234375	4.91278076171875	7.596954345703125	-6.718401164772832	0	-19.267273	-25.134277	-50.42267	75.97058	-34.722424	-20.696741
1448012853517	-2.8537445068359375	5.0484619140625	7.020904541015625	-6.770875712742972	0	-20.018005	-25.43335	-50.572205	76.00897	-34.565365	-20.895025
1448012853558	-2.7418670654296875	5.511444091796875	7.5743408203125	-6.590403823352858	0	-19.41681	-25.733948	-50.572205	75.96234	-34.012234	-20.845371
1448012853598	-2.5323944091796875	5.866119384765625	7.836181640625	-6.464458977210725	0	-20.46814	-24.983215	-50.572205	76.081604	-33.43312	-20.607164
1448012853639	-3.2810211181640625	5.628082275390625	7.0411376953125	-6.7425832160154435	0	-21.217346	-24.383545	-50.42267	76.16864	-33.126312	-20.514383
1448012853679	-2.6133270263671875	5.83636474609375	7.79095458984375	-6.48786645999256	0	-22.117615	-23.632813	-51.1734	76.639984	-31.608795	-19.341698
1448012853719	-1.9575347900390625	5.366241455078125	9.1549072265625	-6.262081148082075	0	-22.866821	-21.684265	-50.42267	77.1759	-30.371944	-18.04178
